date	day	away	home	opening_spread	away_ML	home_ML	away_pts	home_pts	result	result_diff
20171028	11	Detroit	L.A. Clippers	-7.0	245	-290	95	87	8	15.0
20171029	12	Milwaukee	Atlanta	5.5	-210	175	117	106	11	5.5
20171029	12	Orlando	Charlotte	-3.5	140	-160	113	120	-7	-3.5
20171029	12	Denver	Brooklyn	4.5	-175	155	124	111	13	8.5
20171029	12	San Antonio	Indiana	7.0	-280	240	94	97	-3	-10.0
20171029	12	Washington	Sacramento	6.0	-190	175	110	83	27	21.0
20171029	12	New York	Cleveland	-9.5	375	-470	114	95	19	28.5
20171029	12	Detroit	Golden State	-13.0	975	-1175	115	107	8	21.0
20171030	13	San Antonio	Boston	-3.0	145	-165	94	108	-14	-11.0
20171030	13	Minnesota	Miami	1.5	-150	130	125	122	3	1.5
20171030	13	Orlando	New Orleans	-7.5	270	-330	115	99	16	23.5
20171030	13	Dallas	Utah	-7.5	255	-310	89	104	-15	-7.5
20171030	13	Denver	New York	3.5	-160	140	110	116	-6	-9.5
20171030	13	Charlotte	Memphis	-7.0	205	-245	104	99	5	12.0
20171030	13	Philadelphia	Houston	-6.0	205	-245	115	107	8	14.0
20171030	13	Toronto	Portland	-2.0	110	-130	99	85	14	16.0
20171030	13	Golden State	L.A. Clippers	4.5	-200	170	141	113	28	23.5
20171031	14	Sacramento	Indiana	-6.0	175	-210	83	101	-18	-12.0
20171031	14	Oklahoma City	Milwaukee	1.0	-125	105	110	91	19	18.0
20171031	14	Phoenix	Brooklyn	-3.0	155	-175	122	114	8	11.0
20171031	14	Detroit	L.A. Lakers	4.5	-160	140	93	113	-20	-24.5
20171101	15	Phoenix	Washington	-13.0	750	-950	122	116	6	19.0
20171101	15	Atlanta	Philadelphia	-8.5	325	-360	109	119	-10	-1.5
20171101	15	Sacramento	Boston	-12.5	800	-1000	86	113	-27	-14.5
20171101	15	Orlando	Memphis	-4.0	145	-165	101	99	2	6.0
20171101	15	Minnesota	New Orleans	-1.5	115	-125	104	98	6	7.5
20171101	15	Portland	Utah	-4.0	160	-170	103	112	-9	-5.0
20171101	15	Milwaukee	Charlotte	-3.0	140	-160	121	126	-5	-2.0
20171101	15	Indiana	Cleveland	-11.0	450	-600	124	107	17	28.0
20171101	15	Chicago	Miami	-9.5	400	-500	91	97	-6	3.5
20171101	15	Houston	New York	5.0	-200	185	119	97	22	17.0
20171101	15	Toronto	Denver	-1.0	110	-120	111	129	-18	-17.0
20171101	15	Dallas	L.A. Clippers	-9.0	380	-475	98	119	-21	-12.0
20171102	16	Golden State	San Antonio	6.5	-265	225	112	92	20	13.5
