date,away,away_pts,home,home_pts
Thu Dec 7 2017,Washington Wizards,109,Phoenix Suns,99
Thu Dec 7 2017,Houston Rockets,112,Utah Jazz,101
Fri Dec 8 2017,Chicago Bulls,119,Charlotte Hornets,111
Fri Dec 8 2017,Golden State Warriors,102,Detroit Pistons,98
Fri Dec 8 2017,Cleveland Cavaliers,102,Indiana Pacers,106
Fri Dec 8 2017,Toronto Raptors,116,Memphis Grizzlies,107
Fri Dec 8 2017,Dallas Mavericks,102,Milwaukee Bucks,109
Fri Dec 8 2017,Sacramento Kings,116,New Orleans Pelicans,109
Fri Dec 8 2017,Denver Nuggets,103,Orlando Magic,89
Fri Dec 8 2017,Boston Celtics,102,San Antonio Spurs,105
Sat Dec 9 2017,Orlando Magic,110,Atlanta Hawks,117
Sat Dec 9 2017,Miami Heat,101,Brooklyn Nets,89
Sat Dec 9 2017,New York Knicks,102,Chicago Bulls,104
Sat Dec 9 2017,Los Angeles Lakers,110,Charlotte Hornets,99
Sat Dec 9 2017,Philadelphia 76ers,98,Cleveland Cavaliers,105
Sat Dec 9 2017,Washington Wizards,112,Los Angeles Clippers,113
Sat Dec 9 2017,Oklahoma City Thunder,102,Memphis Grizzlies,101
Sat Dec 9 2017,Utah Jazz,100,Milwaukee Bucks,117
Sat Dec 9 2017,San Antonio Spurs,104,Phoenix Suns,101
Sat Dec 9 2017,Houston Rockets,124,Portland Trail Blazers,117
Sun Dec 10 2017,Boston Celtics,91,Detroit Pistons,81
Sun Dec 10 2017,Denver Nuggets,116,Indiana Pacers,126
Sun Dec 10 2017,Dallas Mavericks,92,Minnesota Timberwolves,97
Sun Dec 10 2017,Philadelphia 76ers,124,New Orleans Pelicans,131
Sun Dec 10 2017,Atlanta Hawks,107,New York Knicks,111
Sun Dec 10 2017,Toronto Raptors,102,Sacramento Kings,87
Mon Dec 11 2017,Boston Celtics,85,Chicago Bulls,108
Mon Dec 11 2017,Portland Trail Blazers,104,Golden State Warriors,111
Mon Dec 11 2017,New Orleans Pelicans,123,Houston Rockets,130
Mon Dec 11 2017,Toronto Raptors,91,Los Angeles Clippers,96
Mon Dec 11 2017,Miami Heat,107,Memphis Grizzlies,82
Mon Dec 11 2017,Charlotte Hornets,116,Oklahoma City Thunder,103
Tue Dec 12 2017,Washington Wizards,98,Brooklyn Nets,103
Tue Dec 12 2017,Atlanta Hawks,114,Cleveland Cavaliers,123
Tue Dec 12 2017,San Antonio Spurs,89,Dallas Mavericks,95
Tue Dec 12 2017,Denver Nuggets,103,Detroit Pistons,84
Tue Dec 12 2017,Philadelphia 76ers,118,Minnesota Timberwolves,112
Tue Dec 12 2017,Los Angeles Lakers,109,New York Knicks,113
Tue Dec 12 2017,Phoenix Suns,92,Sacramento Kings,99
Wed Dec 13 2017,Denver Nuggets,118,Boston Celtics,124
Wed Dec 13 2017,Utah Jazz,100,Chicago Bulls,103
Wed Dec 13 2017,Charlotte Hornets,96,Houston Rockets,108
Wed Dec 13 2017,Oklahoma City Thunder,100,Indiana Pacers,95
Wed Dec 13 2017,Portland Trail Blazers,102,Miami Heat,95
Wed Dec 13 2017,Milwaukee Bucks,108,New Orleans Pelicans,115
Wed Dec 13 2017,Los Angeles Clippers,106,Orlando Magic,95
Wed Dec 13 2017,Toronto Raptors,115,Phoenix Suns,109
Wed Dec 13 2017,Memphis Grizzlies,87,Washington Wizards,93
Thu Dec 14 2017,Detroit Pistons,105,Atlanta Hawks,91
Thu Dec 14 2017,New York Knicks,111,Brooklyn Nets,104
Thu Dec 14 2017,Los Angeles Lakers,112,Cleveland Cavaliers,121
Thu Dec 14 2017,Dallas Mavericks,97,Golden State Warriors,112
Thu Dec 14 2017,Sacramento Kings,96,Minnesota Timberwolves,119
Fri Dec 15 2017,Utah Jazz,107,Boston Celtics,95
Fri Dec 15 2017,Miami Heat,104,Charlotte Hornets,98
Fri Dec 15 2017,New Orleans Pelicans,111,Denver Nuggets,117
Fri Dec 15 2017,San Antonio Spurs,109,Houston Rockets,124
Fri Dec 15 2017,Detroit Pistons,104,Indiana Pacers,98
Fri Dec 15 2017,Atlanta Hawks,94,Memphis Grizzlies,96
Fri Dec 15 2017,Chicago Bulls,115,Milwaukee Bucks,109
Fri Dec 15 2017,Portland Trail Blazers,95,Orlando Magic,88
Fri Dec 15 2017,Oklahoma City Thunder,119,Philadelphia 76ers,117
Fri Dec 15 2017,Brooklyn Nets,87,Toronto Raptors,120
Fri Dec 15 2017,Los Angeles Clippers,91,Washington Wizards,100
Sat Dec 16 2017,Portland Trail Blazers,93,Charlotte Hornets,91
Sat Dec 16 2017,Utah Jazz,100,Cleveland Cavaliers,109
Sat Dec 16 2017,Milwaukee Bucks,111,Houston Rockets,115
Sat Dec 16 2017,Boston Celtics,102,Memphis Grizzlies,93
Sat Dec 16 2017,Los Angeles Clippers,85,Miami Heat,90
Sat Dec 16 2017,Phoenix Suns,108,Minnesota Timberwolves,106
Sat Dec 16 2017,Oklahoma City Thunder,96,New York Knicks,111
Sat Dec 16 2017,Dallas Mavericks,96,San Antonio Spurs,98
Sun Dec 17 2017,Indiana Pacers,109,Brooklyn Nets,97
Sun Dec 17 2017,Orlando Magic,110,Detroit Pistons,114
Sun Dec 17 2017,Sacramento Kings,93,Toronto Raptors,108
Sun Dec 17 2017,Cleveland Cavaliers,106,Washington Wizards,99
Mon Dec 18 2017,Miami Heat,104,Atlanta Hawks,110
Mon Dec 18 2017,Philadelphia 76ers,115,Chicago Bulls,117
Mon Dec 18 2017,New York Knicks,91,Charlotte Hornets,109
Mon Dec 18 2017,Phoenix Suns,97,Dallas Mavericks,91
Mon Dec 18 2017,Utah Jazz,99,Houston Rockets,120
Mon Dec 18 2017,Boston Celtics,112,Indiana Pacers,111
Mon Dec 18 2017,Golden State Warriors,116,Los Angeles Lakers,114
Mon Dec 18 2017,Portland Trail Blazers,107,Minnesota Timberwolves,108
Mon Dec 18 2017,Denver Nuggets,94,Oklahoma City Thunder,95
Mon Dec 18 2017,Los Angeles Clippers,91,San Antonio Spurs,109
Tue Dec 19 2017,Cleveland Cavaliers,116,Milwaukee Bucks,119
Tue Dec 19 2017,Sacramento Kings,101,Philadelphia 76ers,95
Tue Dec 19 2017,New Orleans Pelicans,106,Washington Wizards,116
Wed Dec 20 2017,Indiana Pacers,105,Atlanta Hawks,95
Wed Dec 20 2017,Miami Heat,90,Boston Celtics,89
