date,away,away_pts,home,home_pts
Tue Feb 13 2018,Miami Heat,112,Toronto Raptors,115
Wed Feb 14 2018,Los Angeles Clippers,129,Boston Celtics,119
Wed Feb 14 2018,Indiana Pacers,108,Brooklyn Nets,103
Wed Feb 14 2018,Toronto Raptors,122,Chicago Bulls,98
Wed Feb 14 2018,Atlanta Hawks,98,Detroit Pistons,104
Wed Feb 14 2018,Sacramento Kings,91,Houston Rockets,100
Wed Feb 14 2018,Oklahoma City Thunder,121,Memphis Grizzlies,114
Wed Feb 14 2018,Los Angeles Lakers,117,New Orleans Pelicans,139
Wed Feb 14 2018,Washington Wizards,118,New York Knicks,113
Wed Feb 14 2018,Charlotte Hornets,104,Orlando Magic,102
Wed Feb 14 2018,Miami Heat,102,Philadelphia 76ers,104
Wed Feb 14 2018,Golden State Warriors,117,Portland Trail Blazers,123
Wed Feb 14 2018,Phoenix Suns,97,Utah Jazz,107
Thu Feb 15 2018,Denver Nuggets,134,Milwaukee Bucks,123
Thu Feb 15 2018,Los Angeles Lakers,111,Minnesota Timberwolves,119
Thu Feb 22 2018,Philadelphia 76ers,116,Chicago Bulls,115
Thu Feb 22 2018,Brooklyn Nets,96,Charlotte Hornets,111
Thu Feb 22 2018,Washington Wizards,110,Cleveland Cavaliers,103
Thu Feb 22 2018,Los Angeles Clippers,127,Golden State Warriors,134
Thu Feb 22 2018,New York Knicks,120,Orlando Magic,113
Thu Feb 22 2018,Oklahoma City Thunder,110,Sacramento Kings,107
Fri Feb 23 2018,San Antonio Spurs,119,Denver Nuggets,122
Fri Feb 23 2018,Boston Celtics,110,Detroit Pistons,98
Fri Feb 23 2018,Minnesota Timberwolves,102,Houston Rockets,120
Fri Feb 23 2018,Atlanta Hawks,93,Indiana Pacers,116
Fri Feb 23 2018,Dallas Mavericks,102,Los Angeles Lakers,124
Fri Feb 23 2018,Cleveland Cavaliers,112,Memphis Grizzlies,89
Fri Feb 23 2018,Miami Heat,123,New Orleans Pelicans,124
Fri Feb 23 2018,Los Angeles Clippers,128,Phoenix Suns,117
Fri Feb 23 2018,Milwaukee Bucks,122,Toronto Raptors,119
Fri Feb 23 2018,Portland Trail Blazers,100,Utah Jazz,81
Fri Feb 23 2018,Charlotte Hornets,122,Washington Wizards,105
Sat Feb 24 2018,Oklahoma City Thunder,80,Golden State Warriors,112
Sat Feb 24 2018,Memphis Grizzlies,89,Miami Heat,115
Sat Feb 24 2018,Chicago Bulls,104,Minnesota Timberwolves,122
Sat Feb 24 2018,Boston Celtics,121,New York Knicks,112
Sat Feb 24 2018,Orlando Magic,105,Philadelphia 76ers,116
Sat Feb 24 2018,Portland Trail Blazers,106,Phoenix Suns,104
Sat Feb 24 2018,Los Angeles Lakers,113,Sacramento Kings,108
Sat Feb 24 2018,Dallas Mavericks,90,Utah Jazz,97
Sun Feb 25 2018,Detroit Pistons,98,Charlotte Hornets,114
Sun Feb 25 2018,San Antonio Spurs,110,Cleveland Cavaliers,94
Sun Feb 25 2018,Houston Rockets,119,Denver Nuggets,114
Sun Feb 25 2018,New Orleans Pelicans,123,Milwaukee Bucks,121
Sun Feb 25 2018,Philadelphia 76ers,94,Washington Wizards,109
Mon Feb 26 2018,Los Angeles Lakers,123,Atlanta Hawks,104
Mon Feb 26 2018,Memphis Grizzlies,98,Boston Celtics,109
Mon Feb 26 2018,Chicago Bulls,87,Brooklyn Nets,104
