date	away	home	opening_spread	away_ML	home_ML
20171103	Phoenix	New York	-4	+150	-160
20171103	New Orleans	Dallas	+4.5	-190	+165
20171103	Miami	Denver	-5	+170	-200
20171103	Brooklyn	L.A. Lakers	-2	+125	-145
20171104	Memphis	L.A. Clippers	-5.5	+205	-225
20171104	New Orleans	Chicago	+7	-240	+200
20171104	Sacramento	Detroit	-8.5	+350	-440
20171104	Dallas	Minnesota	-12.5	+800	-1250
20171104	Golden State	Denver	+7.5	-380	+315
20171105	Atlanta	Cleveland	-13.5	+650	-1000
20171105	Washington	Toronto	-5	+175	-210
20171105	Utah	Houston	-7	+220	-240
20171105	Indiana	New York	-2	+120	-130
20171105	Oklahoma City	Portland	+3	-135	+125
20171105	Miami	L.A. Clippers	-58.5	+180	-220
20171105	Boston	Orlando	+3	-155	+135
20171105	Phoenix	San Antonio	-10.5	+475	-650
20171105	Charlotte	Minnesota	-5	+180	-220
20171105	Memphis	L.A. Lakers	+1.5	-118	+108
20171106	Boston	Atlanta	+8	-340	+280
20171106	Brooklyn	Phoenix	-1	+100	-120
20171106	Miami	Golden State	-16.5	+1300	-1650
20171107	Milwaukee	Cleveland	-4	+155	-165
20171107	New Orleans	Indiana	-1	-102	-118
20171107	Charlotte	New York	+1	-105	-105
20171107	Philadelphia	Utah	-7	+235	-275
20171107	Memphis	Portland	-3.5	+140	-160
20171107	Dallas	Washington	-11	+470	-555
20171107	Chicago	Toronto	-11	+535	-650
20171107	L.A. Clippers	San Antonio	-3	+150	-160
20171107	Brooklyn	Denver	-11.5	+635	-800
20171107	Oklahoma City	Sacramento	+11	-525	+450
20171108	New York	Orlando	-5	+175	-210
20171108	L.A. Lakers	Boston	-9	+310	-370
20171108	Indiana	Detroit	-6.5	+255	-310
20171108	Miami	Phoenix	+5.5	-210	+175
20171108	Minnesota	Golden State	-10.5	+475	-650
20171109	L.A. Lakers	Washington	-10	+455	-530
20171109	Cleveland	Houston	-5.5	+170	-200
20171109	New Orleans	Toronto	-4.5	+170	-200
20171109	Philadelphia	Sacramento	+6.5	-260	+220
20171109	Oklahoma City	Denver	0	-117	-103
20171110	Atlanta	Detroit	-8.5	+300	-360
20171110	Indiana	Chicago	+4	-175	+155
20171110	Orlando	Phoenix	+3	-165	+145
20171110	L.A. Clippers	Oklahoma City	-6	+200	-240
20171110	Charlotte	Boston	-4	+160	-170
20171110	Milwaukee	San Antonio	-4.5	+160	-185
20171110	Miami	Utah	-3	+130	-150
20171110	Brooklyn	Portland	-8.5	+305	-365
20171111	Atlanta	Washington	-11	+475	-650
20171111	Memphis	Houston	-5.5	+200	-240
20171111	Cleveland	Dallas	+5.5	-220	+180
20171111	Philadelphia	Golden State	-14	+1000	-1500
20171111	Orlando	Denver	-8	+260	-320
20171111	L.A. Clippers	New Orleans	-5.5	+240	-280
20171111	Sacramento	New York	-4.5	+175	-210
20171111	L.A. Lakers	Milwaukee	-5	+190	-230
20171111	Chicago	San Antonio	-12	+475	-650
20171111	Brooklyn	Utah	-9	+300	-360
20171111	Minnesota	Phoenix	+9.5	-420	+335
