date,away,away_pts,home,home_pts
Fri Jan 12 2018,Houston Rockets,112,Phoenix Suns,95
Fri Jan 12 2018,Orlando Magic,119,Washington Wizards,125
Sat Jan 13 2018,Detroit Pistons,105,Chicago Bulls,107
Sat Jan 13 2018,Oklahoma City Thunder,101,Charlotte Hornets,91
Sat Jan 13 2018,Los Angeles Lakers,107,Dallas Mavericks,101
Sat Jan 13 2018,Sacramento Kings,105,Los Angeles Clippers,126
Sat Jan 13 2018,Denver Nuggets,80,San Antonio Spurs,112
Sat Jan 13 2018,Golden State Warriors,127,Toronto Raptors,125
Sat Jan 13 2018,Brooklyn Nets,113,Washington Wizards,119
Sun Jan 14 2018,Milwaukee Bucks,79,Miami Heat,97
Sun Jan 14 2018,Portland Trail Blazers,103,Minnesota Timberwolves,120
Sun Jan 14 2018,New Orleans Pelicans,123,New York Knicks,118
Sun Jan 14 2018,Indiana Pacers,120,Phoenix Suns,97
Mon Jan 15 2018,San Antonio Spurs,99,Atlanta Hawks,102
Mon Jan 15 2018,New York Knicks,119,Brooklyn Nets,104
Mon Jan 15 2018,Miami Heat,111,Chicago Bulls,119
Mon Jan 15 2018,Golden State Warriors,118,Cleveland Cavaliers,108
Mon Jan 15 2018,Charlotte Hornets,118,Detroit Pistons,107
Mon Jan 15 2018,Houston Rockets,102,Los Angeles Clippers,113
Mon Jan 15 2018,Los Angeles Lakers,114,Memphis Grizzlies,123
Mon Jan 15 2018,Sacramento Kings,88,Oklahoma City Thunder,95
Mon Jan 15 2018,Toronto Raptors,111,Philadelphia 76ers,117
Mon Jan 15 2018,Indiana Pacers,109,Utah Jazz,94
Mon Jan 15 2018,Milwaukee Bucks,104,Washington Wizards,95
Tue Jan 16 2018,New Orleans Pelicans,116,Boston Celtics,113
Tue Jan 16 2018,Dallas Mavericks,102,Denver Nuggets,105
Tue Jan 16 2018,Minnesota Timberwolves,102,Orlando Magic,108
Tue Jan 16 2018,Phoenix Suns,111,Portland Trail Blazers,118
Wed Jan 17 2018,New Orleans Pelicans,93,Atlanta Hawks,94
Wed Jan 17 2018,San Antonio Spurs,100,Brooklyn Nets,95
Wed Jan 17 2018,Golden State Warriors,119,Chicago Bulls,112
Wed Jan 17 2018,Washington Wizards,109,Charlotte Hornets,133
Wed Jan 17 2018,Denver Nuggets,104,Los Angeles Clippers,109
Wed Jan 17 2018,New York Knicks,99,Memphis Grizzlies,105
Wed Jan 17 2018,Miami Heat,106,Milwaukee Bucks,101
Wed Jan 17 2018,Los Angeles Lakers,90,Oklahoma City Thunder,114
Wed Jan 17 2018,Utah Jazz,120,Sacramento Kings,105
Wed Jan 17 2018,Detroit Pistons,91,Toronto Raptors,96
Thu Jan 18 2018,Philadelphia 76ers,89,Boston Celtics,80
Thu Jan 18 2018,Orlando Magic,103,Cleveland Cavaliers,104
Thu Jan 18 2018,Minnesota Timberwolves,98,Houston Rockets,116
Thu Jan 18 2018,Indiana Pacers,86,Portland Trail Blazers,100
Fri Jan 19 2018,Miami Heat,95,Brooklyn Nets,101
Fri Jan 19 2018,Phoenix Suns,108,Denver Nuggets,100
Fri Jan 19 2018,Washington Wizards,122,Detroit Pistons,112
Fri Jan 19 2018,Indiana Pacers,86,Los Angeles Lakers,99
Fri Jan 19 2018,Sacramento Kings,88,Memphis Grizzlies,106
Fri Jan 19 2018,San Antonio Spurs,83,Toronto Raptors,86
Fri Jan 19 2018,New York Knicks,117,Utah Jazz,115
Sat Jan 20 2018,Chicago Bulls,113,Atlanta Hawks,97
Sat Jan 20 2018,Miami Heat,106,Charlotte Hornets,105
Sat Jan 20 2018,Oklahoma City Thunder,148,Cleveland Cavaliers,124
Sat Jan 20 2018,Golden State Warriors,108,Houston Rockets,116
Sat Jan 20 2018,Toronto Raptors,109,Minnesota Timberwolves,115
Sat Jan 20 2018,Memphis Grizzlies,104,New Orleans Pelicans,111
Sat Jan 20 2018,Milwaukee Bucks,94,Philadelphia 76ers,116
Sat Jan 20 2018,Dallas Mavericks,108,Portland Trail Blazers,117
Sat Jan 20 2018,Los Angeles Clippers,113,Utah Jazz,125
Sun Jan 21 2018,Orlando Magic,103,Boston Celtics,95
Sun Jan 21 2018,Brooklyn Nets,101,Detroit Pistons,100
Sun Jan 21 2018,New York Knicks,107,Los Angeles Lakers,127
Sun Jan 21 2018,Indiana Pacers,94,San Antonio Spurs,86
Mon Jan 22 2018,Utah Jazz,90,Atlanta Hawks,104
Mon Jan 22 2018,Sacramento Kings,107,Charlotte Hornets,112
Mon Jan 22 2018,Washington Wizards,75,Dallas Mavericks,98
Mon Jan 22 2018,Portland Trail Blazers,101,Denver Nuggets,104
Mon Jan 22 2018,Miami Heat,90,Houston Rockets,99
Mon Jan 22 2018,Minnesota Timberwolves,126,Los Angeles Clippers,118
Mon Jan 22 2018,Philadelphia 76ers,101,Memphis Grizzlies,105
Mon Jan 22 2018,Phoenix Suns,105,Milwaukee Bucks,109
Mon Jan 22 2018,Chicago Bulls,128,New Orleans Pelicans,132
Tue Jan 23 2018,New York Knicks,112,Golden State Warriors,123
Tue Jan 23 2018,Boston Celtics,107,Los Angeles Lakers,108
Tue Jan 23 2018,Brooklyn Nets,108,Oklahoma City Thunder,109
Tue Jan 23 2018,Sacramento Kings,105,Orlando Magic,99
Tue Jan 23 2018,Cleveland Cavaliers,102,San Antonio Spurs,114
Wed Jan 24 2018,Toronto Raptors,108,Atlanta Hawks,93
Wed Jan 24 2018,New Orleans Pelicans,101,Charlotte Hornets,96
Wed Jan 24 2018,Houston Rockets,104,Dallas Mavericks,97
Wed Jan 24 2018,Utah Jazz,98,Detroit Pistons,95
Wed Jan 24 2018,Phoenix Suns,101,Indiana Pacers,116
Wed Jan 24 2018,Boston Celtics,113,Los Angeles Clippers,102
Wed Jan 24 2018,San Antonio Spurs,108,Memphis Grizzlies,85
Wed Jan 24 2018,Chicago Bulls,101,Philadelphia 76ers,115
Wed Jan 24 2018,Minnesota Timberwolves,114,Portland Trail Blazers,123
Thu Jan 25 2018,New York Knicks,118,Denver Nuggets,130
Thu Jan 25 2018,Minnesota Timberwolves,113,Golden State Warriors,126
Thu Jan 25 2018,Sacramento Kings,89,Miami Heat,88
Thu Jan 25 2018,Washington Wizards,112,Oklahoma City Thunder,121
Fri Jan 26 2018,Los Angeles Lakers,108,Chicago Bulls,103
Fri Jan 26 2018,Atlanta Hawks,110,Charlotte Hornets,121
Fri Jan 26 2018,Indiana Pacers,108,Cleveland Cavaliers,115
Fri Jan 26 2018,Portland Trail Blazers,107,Dallas Mavericks,93
Fri Jan 26 2018,Los Angeles Clippers,109,Memphis Grizzlies,100
Fri Jan 26 2018,Brooklyn Nets,91,Milwaukee Bucks,116
Fri Jan 26 2018,Houston Rockets,113,New Orleans Pelicans,115
Fri Jan 26 2018,New York Knicks,107,Phoenix Suns,85
Fri Jan 26 2018,Philadelphia 76ers,97,San Antonio Spurs,78
Fri Jan 26 2018,Utah Jazz,97,Toronto Raptors,93
Sat Jan 27 2018,Washington Wizards,129,Atlanta Hawks,104
Sat Jan 27 2018,Dallas Mavericks,89,Denver Nuggets,91
Sat Jan 27 2018,Oklahoma City Thunder,121,Detroit Pistons,108
Sat Jan 27 2018,Boston Celtics,105,Golden State Warriors,109
Sat Jan 27 2018,Orlando Magic,112,Indiana Pacers,114
Sat Jan 27 2018,Charlotte Hornets,91,Miami Heat,95
Sat Jan 27 2018,Brooklyn Nets,97,Minnesota Timberwolves,111
Sun Jan 28 2018,Milwaukee Bucks,110,Chicago Bulls,96
Sun Jan 28 2018,Detroit Pistons,104,Cleveland Cavaliers,121
Sun Jan 28 2018,Phoenix Suns,102,Houston Rockets,113
Sun Jan 28 2018,Los Angeles Clippers,112,New Orleans Pelicans,103
Sun Jan 28 2018,Philadelphia 76ers,112,Oklahoma City Thunder,122
Sun Jan 28 2018,Sacramento Kings,98,San Antonio Spurs,113
Sun Jan 28 2018,Los Angeles Lakers,111,Toronto Raptors,123
Mon Jan 29 2018,Minnesota Timberwolves,100,Atlanta Hawks,105
Mon Jan 29 2018,Miami Heat,95,Dallas Mavericks,88
Mon Jan 29 2018,Boston Celtics,111,Denver Nuggets,110
Mon Jan 29 2018,Charlotte Hornets,96,Indiana Pacers,105
Mon Jan 29 2018,Phoenix Suns,109,Memphis Grizzlies,120
Mon Jan 29 2018,Philadelphia 76ers,95,Milwaukee Bucks,107
Tue Jan 30 2018,Cleveland Cavaliers,114,Detroit Pistons,125
Tue Jan 30 2018,Orlando Magic,107,Houston Rockets,114
Tue Jan 30 2018,Portland Trail Blazers,104,Los Angeles Clippers,96
Tue Jan 30 2018,Sacramento Kings,114,New Orleans Pelicans,103
Tue Jan 30 2018,Brooklyn Nets,95,New York Knicks,111
Tue Jan 30 2018,Denver Nuggets,104,San Antonio Spurs,106
Tue Jan 30 2018,Minnesota Timberwolves,104,Toronto Raptors,109
Tue Jan 30 2018,Golden State Warriors,99,Utah Jazz,129
Tue Jan 30 2018,Oklahoma City Thunder,96,Washington Wizards,102
Wed Jan 31 2018,Charlotte Hornets,123,Atlanta Hawks,110
Wed Jan 31 2018,New York Knicks,73,Boston Celtics,103
Wed Jan 31 2018,Philadelphia 76ers,108,Brooklyn Nets,116
Wed Jan 31 2018,Miami Heat,89,Cleveland Cavaliers,91
Wed Jan 31 2018,Memphis Grizzlies,101,Indiana Pacers,105
Wed Jan 31 2018,Los Angeles Lakers,105,Orlando Magic,127
Wed Jan 31 2018,Dallas Mavericks,88,Phoenix Suns,102
Wed Jan 31 2018,Chicago Bulls,108,Portland Trail Blazers,124
