Atlanta,-6.06
Boston,3.90
Brooklyn,-0.40
Charlotte,-1.31
Chicago,-8.32
Cleveland,-9.39
Dallas,-0.86
Denver,4.20
Detroit,-0.55
GoldenState,6.42
Houston,4.97
Indiana,2.76
LAClippers,1.09
LALakers,-1.32
Memphis,-2.08
Miami,-0.45
Milwaukee,8.05
Minnesota,-1.02
NewOrleans,-1.10
NewYork,-8.92
OklahomaCity,3.56
Orlando,0.28
Philadelphia,2.26
Phoenix,-8.61
Portland,4.44
Sacramento,-0.81
SanAntonio,1.81
Toronto,5.49
Utah,5.29
Washington,-3.30
